Item,Element,Y2011
Maize Germ Oil,Import Quantity,792
Maize Germ Oil,Stock Variation,30
Maize Germ Oil,Export Quantity,952
Maize Germ Oil,Domestic supply quantity,2200
Maize Germ Oil,Waste,7
Maize Germ Oil,Processing,0
Maize Germ Oil,Other uses,33
Maize Germ Oil,Food,2164
Maize Germ Oil,Food supply quantity (kg/capita/yr),0.32
Maize Germ Oil,Food supply (kcal/capita/day),8
Maize Germ Oil,Protein supply quantity (g/capita/day),0
Maize Germ Oil,Fat supply quantity (g/capita/day),0.86
"Oilcrops Oil, Other",Production,4341
"Oilcrops Oil, Other",Import Quantity,5596
"Oilcrops Oil, Other",Stock Variation,-35
"Oilcrops Oil, Other",Export Quantity,3481
"Oilcrops Oil, Other",Domestic supply quantity,6421
"Oilcrops Oil, Other",Feed,1
"Oilcrops Oil, Other",Waste,6
"Oilcrops Oil, Other",Processing,357
"Oilcrops Oil, Other",Other uses,4818
"Oilcrops Oil, Other",Food,1757
"Oilcrops Oil, Other",Food supply quantity (kg/capita/yr),0.26
"Oilcrops Oil, Other",Food supply (kcal/capita/day),6
"Oilcrops Oil, Other",Protein supply quantity (g/capita/day),0
"Oilcrops Oil, Other",Fat supply quantity (g/capita/day),0.68
Tomatoes and products,Production,157040
Tomatoes and products,Import Quantity,17413
Tomatoes and products,Stock Variation,25
Tomatoes and products,Export Quantity,21243
Tomatoes and products,Domestic supply quantity,153236
Tomatoes and products,Feed,1751
Tomatoes and products,Waste,12941
Tomatoes and products,Processing,0
Tomatoes and products,Other uses,76
Tomatoes and products,Food,138512
Tomatoes and products,Food supply quantity (kg/capita/yr),20.23
Tomatoes and products,Food supply (kcal/capita/day),10
Tomatoes and products,Protein supply quantity (g/capita/day),0.53
Tomatoes and products,Fat supply quantity (g/capita/day),0.13
Onions,Production,84683
Onions,Import Quantity,6417
Onions,Stock Variation,0
Onions,Export Quantity,7570
Onions,Domestic supply quantity,83530
Onions,Feed,82
Onions,Seed,11
Onions,Waste,6662
Onions,Processing,-1
Onions,Other uses,14
Onions,Food,76763
Onions,Food supply quantity (kg/capita/yr),11.21
Onions,Food supply (kcal/capita/day),12
Onions,Protein supply quantity (g/capita/day),0.42
Onions,Fat supply quantity (g/capita/day),0.06
"Vegetables, Other",Production,840546
"Vegetables, Other",Import Quantity,41672
"Vegetables, Other",Stock Variation,219
"Vegetables, Other",Export Quantity,43319
"Vegetables, Other",Domestic supply quantity,839117
"Vegetables, Other",Feed,50768
"Vegetables, Other",Seed,101
"Vegetables, Other",Waste,72798
"Vegetables, Other",Processing,605
"Vegetables, Other",Other uses,446
"Vegetables, Other",Food,714726
"Vegetables, Other",Food supply quantity (kg/capita/yr),104.37
